RID,POSTED_BY,BHK_NO,SQUARE_FT,BATH,BALCONY,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,Label
A1H9VU1FACOXLN,Owner,2 BHK,1300.236407,2,1,"Ksfc Layout,Bangalore",12.96991,77.59796,55,1
AWJ1Z81HHB0MY,Dealer,4 BHK,1275,3,3,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51,1
A2NP8RNW9T5BQF,Owner,3 BHK,933.1597222,2,3,"Jigani,Bangalore",12.778033,77.632191,43,0
A2JRK3K99168A1,Owner,3 BHK,929.9211427,3,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5,1
A1L4RDILGM7D9E,Dealer,2 BHK,999.009247,2,1,"New Town,Kolkata",22.5922,88.484911,60.5,0
A2VUB6YYTF234O,Owner,2 BHK,1250,2,1,"South Chittoor,Kochi",10.03328,76.282571,42,0
A21BLUM0I2Y3MW,Dealer,4 BHK,1495.053957,2,1,"Sodala,Jaipur",26.916347,75.7956,66.5,1
A1VKNACW03M5H7,Owner,4 BHK,1181.012946,2,1,"Kharar,Mohali",30.74,76.65,52,1
A2582KMXLK2P06,Dealer,3 BHK,1040,3,1,"Bileshivale,Bangalore",13.054202,77.674002,41.6,0
A34HSMRAQY5XKX,Owner,2 BHK,879.1208791,3,1,"Chromepet,Chennai",12.95161,80.14097,36,1
AUUWUS51SMMT4,Owner,3 BHK,1350.308642,2,2,"Deshbandhu Para,Siliguri",26.724219,88.326357,35,0
A1YZV2UY0QDZTX,Dealer,4 BHK,1333.010179,3,3,"Hebbal,Bangalore",13.04034,77.591347,110,1
A3QN14A5DGUA0U,Owner,2 BHK,927.1779023,2,1,"Garebhavipalya,Bangalore",12.96991,77.59796,48,0
ABHXONN9HSUZI,Owner,2 BHK,1122.171946,2,2,"Sector-119 Noida,Noida",28.587711,77.403123,62,1
A3OM7Q1IVAGLUW,Owner,3 BHK,649.9837504,3,2,"sanjay nagar,Raigad",13.0352,77.5772,20,0
A3BUE5AHX4M0FS,Dealer,2 BHK,1394.117647,2,2,"Sector-150 Noida,Noida",28.429614,77.481711,71.1,0
AQX8FF2YCO3J7,Owner,3 BHK,1800.08471,3,2,"Jharapada,Bhubaneswar",20.275267,85.862407,85,0
A27UE9HJRZ22YI,Dealer,3 BHK,2124.896706,3,3,"Konanakunte,Bangalore",12.8855,77.5638,180,0
