RID,POSTED_BY,BHK_NO,SQUARE_FT,BATH,BALCONY,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,Label,results
A1H9VU1FACOXLN,Owner,2 BHK,1300.236407,2.0,1,"Ksfc Layout,Bangalore",12.96991,77.59796,55.0,1,1
AWJ1Z81HHB0MY,Dealer,4 BHK,1275.0,3.0,3,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51.0,1,1
A2NP8RNW9T5BQF,Owner,3 BHK,933.1597222000001,2.0,3,"Jigani,Bangalore",12.778033,77.632191,43.0,0,0
A2JRK3K99168A1,Owner,3 BHK,929.9211427000001,3.0,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5,1,1
A1L4RDILGM7D9E,Dealer,2 BHK,999.0092470000001,2.0,1,"New Town,Kolkata",22.5922,88.484911,60.5,0,0
A2VUB6YYTF234O,Owner,2 BHK,1250.0,2.0,1,"South Chittoor,Kochi",10.03328,76.28257099999999,42.0,0,0
A21BLUM0I2Y3MW,Dealer,4 BHK,1495.053957,2.0,1,"Sodala,Jaipur",26.916347,75.7956,66.5,1,1
A1VKNACW03M5H7,Owner,4 BHK,1181.012946,2.0,1,"Kharar,Mohali",30.74,76.65,52.0,1,1
A2582KMXLK2P06,Dealer,3 BHK,1040.0,3.0,1,"Bileshivale,Bangalore",13.054202,77.674002,41.6,0,0
A34HSMRAQY5XKX,Owner,2 BHK,879.1208791000001,3.0,1,"Chromepet,Chennai",12.95161,80.14097,36.0,1,1
AUUWUS51SMMT4,Owner,3 BHK,1350.308642,2.0,2,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.0,0,0
A1YZV2UY0QDZTX,Dealer,4 BHK,1333.0101789999999,3.0,3,"Hebbal,Bangalore",13.040339999999999,77.591347,110.0,1,1
A3QN14A5DGUA0U,Owner,2 BHK,927.1779023,2.0,1,"Garebhavipalya,Bangalore",12.96991,77.59796,48.0,0,0
ABHXONN9HSUZI,Owner,2 BHK,1122.1719460000002,2.0,2,"Sector-119 Noida,Noida",28.587711,77.403123,62.0,1,1
A3OM7Q1IVAGLUW,Owner,3 BHK,649.9837504,3.0,2,"sanjay nagar,Raigad",13.0352,77.5772,20.0,0,0
A3BUE5AHX4M0FS,Dealer,2 BHK,1394.117647,2.0,2,"Sector-150 Noida,Noida",28.429614,77.481711,71.1,0,0
AQX8FF2YCO3J7,Owner,3 BHK,1800.08471,3.0,2,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,85.0,0,0
A27UE9HJRZ22YI,Dealer,3 BHK,2124.896706,3.0,3,"Konanakunte,Bangalore",12.8855,77.5638,180.0,0,0
A3MBRJ5X24GXM9,Owner,3 BHK,1100.0,2.0,2,"Nagpur Road,Wardha",21.15389,79.08306,22.0,0,0
A3J6I70Z9Q0HRX,Dealer,2 BHK,2178.649237,2.0,2,"Kogilu,Bangalore",13.092356,77.61346800000001,120.0,1,1
A1YLOZQKBX3J1S,Owner,1 BHK,881.1435285,1.0,1,"Poonamallee,Chennai",13.05,80.11,45.0,1,1
AVQIRN6E7J7UA,Dealer,3 BHK,944.8818898,3.0,1,"Undri,Pune",18.452663,73.93104,42.0,0,0
A1XM65S80UQ2MD,Dealer,4 BHK,1310.1476890000001,3.0,2,"Sector-134 Noida,Noida",28.5041,77.381557,55.0,1,1
AFUMZHRZJG0H0,Dealer,3 BHK,630.00063,3.0,1,"Bandra (West),Mumbai",19.05444,72.84056,300.0,0,0
AIW47KAXVTR0X,Dealer,1 RK,1219.80971,1.0,0,"Narendra Nagar,Nagpur",21.105779000000002,79.078497,50.0,1,1
A1R2P21ZYNJCFJ,Owner,3 BHK,780.141844,3.0,2,"Kudgat,Kolkata",22.54111,88.33778000000001,27.5,1,1
A37AO20OXS51QA,Owner,2 BHK,1600.0,1.0,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,46.0,1,1
A3R6W1FEYDNT8V,Dealer,3 BHK,1180.4123710000001,3.0,2,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9,1,1
A2VBZOK3SVSDWA,Owner,2 BHK,1000.0,2.0,2,"Mohan Asram,Deoghar",24.48,86.7,39.0,1,1
